eye_id,image_name,image_id,eye_type,minio_key,is_valid_eye,rejecting_reason,split
15199,001593.jpg,60883,left,raw/eyes/0ff493ee0bb4c4b2deb2496695cba05dc5f7d1fbc14ab1add89d67d135e4e5f6_left.png,1,,train
14507,001247.jpg,60537,left,raw/eyes/0e056d14cbfd7c58c64520058bfca0c475fe23d34e8d678f510781a050d59b4b_left.png,1,,train
14407,001197.jpg,60487,left,raw/eyes/15144a6d795ba8842a29455c743443fdf8a593c75a818bb3b98730831b3ef640_left.png,1,,train
14132,001059.jpg,60349,right,raw/eyes/144e279819bbd9c1b3eafd4755bb045a9a9c89d7e072017902d10c111cf213a9_right.png,1,,train
16861,002424.jpg,61714,left,raw/eyes/13cf26a3a2b1d022fb708480e02b61ac2face7e76270fa9380f5b6fe5091fdf4_left.png,1,,train
12750,000368.jpg,59658,right,raw/eyes/05726c1993907a9b877275e095e48b5586a4b365f3bbdbc7510ba144aad9d1b6_right.png,0,closed,train
16517,002252.jpg,61542,left,raw/eyes/09a6ecad6f999a2f3145de48827ff0a3fe494c5f6be77abc6ff2c46b410ac141_left.png,1,,train
17429,002708.jpg,61998,left,raw/eyes/06eb7929c40eb4b5f631e3c12899bb4d62f1d40c163cbeddb7502336fafa1e02_left.png,1,,train
18010,002998.jpg,62288,right,raw/eyes/1c9ead24f4ce21fbbb407ca0ffc3f999b482d9d5af3d0f04fcdfa3ac3e1d4029_right.png,0,reflection,train
13110,000548.jpg,59838,right,raw/eyes/0dc631c8a820fc40f43ed3cd85bc6e4b42b3a076ce6df7cf77ef016369c24b74_right.png,0,reflection,train
16363,002175.jpg,61465,left,raw/eyes/0e9cbc08e474ee7150b28fb7b4303d1fa91af96440118ace4f3c0f8c20693bf8_left.png,0,closed,train
12858,000422.jpg,59712,right,raw/eyes/0908dd74d50e702dc17b57a5b2efc9be847aa743231888ee71f8d9d4c492f302_right.png,1,,train
17473,002730.jpg,62020,left,raw/eyes/0ed2cbb69fe05a16cfc24415d6720304cb95532aedd5a27c077b464534231340_left.png,1,,train
15060,001523.jpg,60813,right,raw/eyes/0f9a664a8d023a5a2bd00021a2d6b8553a6d73617e489ca6ce523ca5f27b1f7b_right.png,0,closed,train
17965,002976.jpg,62266,left,raw/eyes/160567dbc9eb710bc55f057531a1d52efda494933197d6d0b1836ebb161b73a2_left.png,0,reflection,train
14777,001382.jpg,60672,left,raw/eyes/0e71805f698ec2c531774b18d0237d67255e668cd111a8803a19cc4874bb333c_left.png,1,,train
12406,000196.jpg,59486,right,raw/eyes/194fcc6cb8e97e5fe44f0c01a948c910830453bbcb27a041c6f8a7920f8c2e85_right.png,0,reflection,train
15821,001904.jpg,61194,left,raw/eyes/00ff3c59737e8d0e39a5a4678c22f2784ff7b0171de77bfb2f2752b218ef0da9_left.png,1,,train
15163,001575.jpg,60865,left,raw/eyes/1ba576792e639b6d512a0681bbace7c4fd9a9339b9aa98755ba68301dad75754_left.png,1,,train
17017,002502.jpg,61792,left,raw/eyes/087db473d5a4c06b3267ce119d86030ddee2ddf7756d8776a1ae405075d60005_left.png,0,blur,train
15579,001783.jpg,61073,left,raw/eyes/000688fa5933cbb0f5061a0c352ef9b0e6ac58521d9f5af19172ba7471270adb_left.png,1,,train
17188,002587.jpg,61877,right,raw/eyes/0ca1c05c7eb56391521d8c81141e802bf20e6dc0853a20aa323080f379b27a90_right.png,0,closed,train
13779,000883.jpg,60173,left,raw/eyes/09d1f6105650c24699f6c2b4534984b7a918d9a6e7985cc606195351c5201fef_left.png,1,,train
16302,002144.jpg,61434,right,raw/eyes/0795193d940d9bc1ff60a721349c0686e109e5f6853371fa60cc708ab2c7f4af_right.png,0,closed,train
17519,002753.jpg,62043,left,raw/eyes/0344844b699826cdd1608c756bf2f719a7d81168845a2d0aa50e067af5cafbc1_left.png,1,,train
14408,001197.jpg,60487,right,raw/eyes/15144a6d795ba8842a29455c743443fdf8a593c75a818bb3b98730831b3ef640_right.png,1,,train
13826,000906.jpg,60196,right,raw/eyes/100859a8fc41aa971d99fb69980511d2260068b164059ceda01e604c0b01ab81_right.png,0,blur,train
16069,002028.jpg,61318,left,raw/eyes/121b79450086061ab1adfcc9f90343eaa793815c8f0e7e5acaef6230f9462d6e_left.png,1,,train
16171,002079.jpg,61369,left,raw/eyes/18ad795f60a22703ea4e7c6273e3872d40fc13de85cf84f8d52cb94c77963fa5_left.png,1,,train
16856,002421.jpg,61711,right,raw/eyes/110e0aa8378c37e36c2d41c2619a591b0a9c1c2cfb527444f7b92d63566550c9_right.png,1,,train
17411,002699.jpg,61989,left,raw/eyes/01bfe9b93d1c42a039fef8cdf4a870ed32aeb15eac72bf4066a358049087b8f3_left.png,0,closed,train
17644,002815.jpg,62105,right,raw/eyes/04dc87303af177293118076cb753e5e11c9a037f48f338dc14b5434f2bb7e33f_right.png,1,,train
15213,001600.jpg,60890,left,raw/eyes/0204927cf5b31368d21af3cf1ca8de25c9dcf9c8753a230ac252bfbd8e5a7550_left.png,1,,train
13678,000832.jpg,60122,right,raw/eyes/1cd1ab4c116ae9a333a5a4582b4b57b9c8f26d5955cd53e9fa201cb7e334e7c7_right.png,1,,train
12906,000446.jpg,59736,right,raw/eyes/0c3c87864ec9d804b1fd2753fec1ba844d015395a7d09cecf7bb112dfa11621b_right.png,0,closed,train
15193,001590.jpg,60880,left,raw/eyes/04b4eb3a03e24aaf458d369ad4c1684d34ad757286a973d371f450fe8321d251_left.png,1,,train
17420,002703.jpg,61993,right,raw/eyes/0b2227f59fec2bbcac513394f7b68d6bd476cbe91094d27144fe7e9f3686acba_right.png,0,closed,train
17813,002900.jpg,62190,left,raw/eyes/0fe117410f292d57beee80d71c44e154c853e7539ec83ed2f30619371e03873b_left.png,0,closed,train
12154,000070.jpg,59360,right,raw/eyes/16051746e768c420bf097b11c79f70441b8053c36f6a1e04ed7aab7cb73b51d2_right.png,0,blur,train
13242,000614.jpg,59904,right,raw/eyes/0db378b60626c5633e73f0771bb7d7b4c96ea57a08d7bf320ccbe52ec57b1377_right.png,0,side_eye,train
14679,001333.jpg,60623,left,raw/eyes/06bdc8b7d10915bad6abe24d46abd344e7b32d0b9a438e62e8eff6fb4bf13f99_left.png,0,reflection,train
17133,002560.jpg,61850,left,raw/eyes/053f02a8d74a058fb70f48569210acc344312814b50f45719beae2eece557ae5_left.png,0,closed,train
14671,001329.jpg,60619,left,raw/eyes/12d98cbe261fe14aa6701d7b3e015becf1cc3b2e0d3285b02ea73000555c4cb9_left.png,0,side_eye,train
16189,002088.jpg,61378,left,raw/eyes/04a394e426141534614cab8be499ac3054330692fc81177a074cf6e529bbdfd5_left.png,0,closed,train
15607,001797.jpg,61087,left,raw/eyes/090b13e5f17fc7767bdfcfae8b163fbe74f57ae164597c320abb980af30f3cb2_left.png,1,,train
16327,002157.jpg,61447,left,raw/eyes/1039f9f1998334fa09fe83502c0024aa041f00baf5b364d9a41d940e839d52a1_left.png,1,,train
17009,002498.jpg,61788,left,raw/eyes/071d0ea76dd15a6e0e5f4589594a3df5cfe11199f4997aa96d2007e88e159e23_left.png,0,blur,train
16082,002034.jpg,61324,right,raw/eyes/04d08930d8154200ece5f9943190bc85e0f7cd8a0759858548347a3ccb35752e_right.png,0,closed,train
14473,001230.jpg,60520,left,raw/eyes/0c343abbdb2287f31e8c7edea8b82829bd6bc1bca880735c46e28a2cb2fa2f55_left.png,1,,train
14936,001461.jpg,60751,right,raw/eyes/05602cdce809fb951040d95d7fd5c17c690422920af2b1c70586c2c41f8f6254_right.png,0,blur,train
14331,001159.jpg,60449,left,raw/eyes/0ae236d0e6de8e6ecb67f0cc24241d7b82baa997671088863ef4c7b51c22c808_left.png,1,,train
17393,002690.jpg,61980,left,raw/eyes/05d0648c4313c30853d4c847b47e0b8728bd267aece3ff2e1dae6c6cc198d565_left.png,1,,train
13186,000586.jpg,59876,right,raw/eyes/0255349e7691bb9208a57a39cf4814244e9587fb6002b8860de3b765fe44f363_right.png,1,,train
12229,000108.jpg,59398,left,raw/eyes/16c0142159f68a09f8f71e47b180e0cbd7be64c5eb124b28d165fb328d4a431b_left.png,1,,train
17641,002814.jpg,62104,left,raw/eyes/0bc19fd7bdec7edeaa5a0c4400a724f620eff844ebbbaa183716950a6329e087_left.png,0,reflection,train
14164,001075.jpg,60365,right,raw/eyes/15d9f7442910c437f23353961bb5d60fa31d19f01fcb5ffef98e6f6ed2b92079_right.png,1,,train
13017,000502.jpg,59792,left,raw/eyes/15815be0c42b501375fe98672bf3f57a7c52e88643022ecede4ff5c0b9226701_left.png,1,,train
16786,002386.jpg,61676,right,raw/eyes/19f036c9e7ad2cebeceb948c70ae35a6ee7b8b301a49f8fa0e9d6260f9d59b25_right.png,0,blur,train
14120,001053.jpg,60343,right,raw/eyes/0f31a0f33012c85aa13d06f3b22c8194a0be1738b8fa24e72589d45781548ca0_right.png,1,,train
12106,000046.jpg,59336,right,raw/eyes/1d2c243b2416cb4d7c87644484c19dae2450e7cf160ca6b56c69120d3bcae457_right.png,1,,train
12042,000014.jpg,59304,right,raw/eyes/0fb8dd912168c9ca3e9bdbbccff94cd183616ca746350ec32966197f3e59941f_right.png,1,,train
13999,000993.jpg,60283,left,raw/eyes/1104c7a302fc6af1305fc40ac9e7b45af37eeb4d134264ff4cc96ae833b505f0_left.png,0,blur,train
15603,001795.jpg,61085,left,raw/eyes/121dd77085625cbf4f2061c718f9e620c8313e3ef1e72456bb54ae7ca228be93_left.png,1,,train
